system   D            wsystem.c:583  maybe_parent_dir                 [   0.00126] Also searching C:\Users\Leonardo\Documents\Visual Studio 11\Projects\Projeto Final\
display  D   display_settings.c:357  _al_score_display_settings       [   0.03996] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03998] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04002] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04004] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04007] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04009] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04010] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04012] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04014] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04016] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04018] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04020] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04022] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04024] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04026] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04028] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04030] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04033] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04035] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04037] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.04039] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.04041] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.04043] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.04045] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.04046] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.04048] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.04050] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.04052] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04054] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.04056] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.04058] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.04060] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.04062] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.04064] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.04066] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.04068] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04070] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.04072] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.04074] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.04076] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.04078] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.04080] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.04082] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.04084] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04086] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.04088] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.04090] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.04092] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.04094] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.04095] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.04097] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.04099] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04101] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.04103] Score is : 726
